x                        chebyshev                chebyshev-jackson       
-1.00000000000000000e+00 -1.43994928251889309e-02 +3.34440142855108036e-05
-9.97997997997998043e-01 +1.43890619740916215e-02 +3.45781909975584334e-05
-9.95995995995995975e-01 +2.04141250647271733e-03 +3.56196440785550017e-05
-9.93993993993994018e-01 -1.12750103073171459e-02 +3.59442045727020876e-05
-9.91991991991991950e-01 -1.43493444652506019e-02 +3.59178713349450618e-05
-9.89989989989989994e-01 -8.54147922478065702e-03 +3.60413801325232264e-05
-9.87987987987988037e-01 +1.00996845311668304e-03 +3.66175255034906222e-05
-9.85985985985985969e-01 +9.55551010824917668e-03 +3.76931977816852282e-05
-9.83983983983984012e-01 +1.42465378125745112e-02 +3.91240659398661705e-05
-9.81981981981981944e-01 +1.42536441857611385e-02 +4.06745848782752439e-05
-9.79979979979979987e-01 +1.02671870323956527e-02 +4.21082558186847145e-05
-9.77977977977978030e-01 +3.82772131112529834e-03 +4.32494173250308478e-05
-9.75975975975975962e-01 -3.28022624478913061e-03 +4.40132206376286916e-05
-9.73973973973974005e-01 -9.47156838087082065e-03 +4.44084762117324949e-05
-9.71971971971971938e-01 -1.36206580484568573e-02 +4.45213766718799420e-05
-9.69969969969969981e-01 -1.51593085579277420e-02 +4.44885683608675642e-05
-9.67967967967968024e-01 -1.40525830973327603e-02 +4.44669464577662765e-05
-9.65965965965965956e-01 -1.06959805025313992e-02 +4.46057460370408165e-05
-9.63963963963963999e-01 -5.77344739304025412e-03 +4.50245392771275732e-05
-9.61961961961961931e-01 -1.07616449178893347e-04 +4.57989493329313824e-05
-9.59959959959959974e-01 +5.47549367626204431e-03 +4.69544204039218371e-05
-9.57957957957958017e-01 +1.02537719616008216e-02 +4.84673029282345347e-05
-9.55955955955955949e-01 +1.36821209897131091e-02 +5.02718176538796691e-05
-9.53953953953953993e-01 +1.54308809881382181e-02 +5.22711084530169678e-05
-9.51951951951951925e-01 +1.53930576934445673e-02 +5.43505174200320518e-05
-9.49949949949949968e-01 +1.36662718285239793e-02 +5.63913468691334963e-05
-9.47947947947947900e-01 +1.05164877159827364e-02 +5.82836434700473305e-05
-9.45945945945945943e-01 +6.33071683931912821e-03 +5.99368895388141532e-05
-9.43943943943943986e-01 +1.56531520413710767e-03 +6.12878652464510232e-05
-9.41941941941941918e-01 -3.30454101825827795e-03 +6.23053141629026364e-05
-9.39939939939939961e-01 -7.82989168992687112e-03 +6.29913750209154522e-05
-9.37937937937937893e-01 -1.16245736677376699e-02 +6.33800167103015788e-05
-9.35935935935935936e-01 -1.43916627923684204e-02 +6.35329217744673436e-05
-9.33933933933933980e-01 -1.59392299518996694e-02 +6.35334035140600051e-05
-9.31931931931931912e-01 -1.61858022579085548e-02 +6.34790161018194965e-05
-9.29929929929929955e-01 -1.51566358699746218e-02 +6.34735326435764691e-05
-9.27927927927927887e-01 -1.29723984370038736e-02 +6.36189321795987972e-05
-9.25925925925925930e-01 -9.83214106382157560e-03 +6.40079638814516905e-05
-9.23923923923923862e-01 -5.99253757087814254e-03 +6.47177562362322156e-05
-9.21921921921921905e-01 -1.74531434631197691e-03 +6.58048215367301736e-05
-9.19919919919919948e-01 +2.60537826467116540e-03 +6.73016813394489155e-05
-9.17917917917917880e-01 +6.76415802578256287e-03 +6.92152152414471367e-05
-9.15915915915915924e-01 +1.04629787572118049e-02 +7.15267203789116124e-05
-9.13913913913913856e-01 +1.34762170573856643e-02 +7.41935678758576245e-05
-9.11911911911911899e-01 +1.56317501980464124e-02 +7.71522588765005679e-05
-9.09909909909909942e-01 +1.68178070005992608e-02 +8.03226190567163378e-05
-9.07907907907907874e-01 +1.69856485528099843e-02 +8.36128275529257614e-05
-9.05905905905905917e-01 +1.61483666880085086e-02 +8.69249537755467649e-05
-9.03903903903903849e-01 +1.43762697844129206e-02 +9.01606723486825246e-05
