problem n solver mem(MB) fill-in t-setup c-setup n_rhs t-solve c-solve
bcsstk08.mtx          1074 LL    2 26.6    0.1    0.1  256    0.2    0.4
bcsstk08.mtx          1074 LL    2 26.6    0.1    0.1  512    0.4    0.8
bcsstk08.mtx          1074 LL    2 26.6    0.1    0.1 1024    0.9    1.7
bcsstk08.mtx          1074 LL    2 26.6    0.1    0.1 2048    1.8    3.5
bcsstk08.mtx          1074 LU    3 30.8    0.1    0.1  256    0.2    0.5
bcsstk08.mtx          1074 LU    3 30.8    0.1    0.1  512    0.5    1.0
bcsstk08.mtx          1074 LU    3 30.8    0.1    0.1 1024    1.0    2.1
bcsstk08.mtx          1074 LU    3 30.8    0.1    0.1 2048    2.1    4.2
bcsstk08.mtx          1074 DS    4 40.6    0.1    0.1  256    0.1    0.1
bcsstk08.mtx          1074 DS    4 40.6    0.1    0.1  512    0.1    0.2
bcsstk08.mtx          1074 DS    4 40.6    0.1    0.1 1024    1.0    1.4
bcsstk08.mtx          1074 DS    4 40.6    0.1    0.1 2048    0.4    0.7
problem n solver mem(MB) fill-in t-setup c-setup n_rhs t-solve c-solve
bcsstk09.mtx          1083 LL    0  5.7    0.0    0.0  256    0.1    0.2
bcsstk09.mtx          1083 LL    0  5.7    0.0    0.0  512    0.2    0.3
bcsstk09.mtx          1083 LL    0  5.7    0.0    0.0 1024    0.4    0.8
bcsstk09.mtx          1083 LL    0  5.7    0.0    0.0 2048    1.0    2.0
bcsstk09.mtx          1083 LU    0  5.7    0.0    0.0  256    0.1    0.2
bcsstk09.mtx          1083 LU    0  5.7    0.0    0.0  512    0.2    0.3
bcsstk09.mtx          1083 LU    0  5.7    0.0    0.0 1024    0.4    0.9
bcsstk09.mtx          1083 LU    0  5.7    0.0    0.0 2048    1.0    2.0
bcsstk09.mtx          1083 DS    4 28.7    0.1    0.1  256    0.1    0.1
bcsstk09.mtx          1083 DS    4 28.7    0.1    0.1  512    0.1    0.2
bcsstk09.mtx          1083 DS    4 28.7    0.1    0.1 1024    0.3    0.7
bcsstk09.mtx          1083 DS    4 28.7    0.1    0.1 2048    0.4    0.7
problem n solver mem(MB) fill-in t-setup c-setup n_rhs t-solve c-solve
bcsstk11.mtx          1473 LL    0  3.2    0.0    0.0  256    0.1    0.2
bcsstk11.mtx          1473 LL    0  3.2    0.0    0.0  512    0.2    0.4
bcsstk11.mtx          1473 LL    0  3.2    0.0    0.0 1024    0.4    0.8
bcsstk11.mtx          1473 LL    0  3.2    0.0    0.0 2048    1.0    1.9
